Detector Name,Descriptor Name,camera-based estimated TTC(s)
BRISK,BRIEF, -4.92007
BRISK,BRIEF, -44.8801
BRISK,BRIEF, 23.7525
BRISK,BRIEF, 56.3704
BRISK,BRIEF, 19.9641
BRISK,BRIEF, 10.0782
BRISK,BRIEF, 43.0658
BRISK,BRIEF, -36.783
BRISK,BRIEF, 13.4423
BRISK,BRIEF, 26.3899
BRISK,BRIEF, -0.729656
BRISK,BRIEF, 5.66122
BRISK,BRIEF, -0.403736
,,
BRISK,ORB, 110.828
BRISK,ORB, -0.494368
BRISK,ORB, -0.141771
BRISK,ORB, -0.545366
BRISK,ORB, -41.2099
BRISK,ORB, -0.596
BRISK,ORB, 153.972
BRISK,ORB, -1.12577
BRISK,ORB, 40.1645
BRISK,ORB, 19.842
BRISK,ORB, 17.2789
BRISK,ORB, 27.8998
BRISK,ORB, 15.3713
BRISK,ORB, 20.6411
BRISK,ORB, 84.9805
BRISK,ORB, -4.82441
BRISK,ORB, 11.4104
BRISK,ORB, -1.80586
,,
BRISK,FREAK, 14.3185
BRISK,FREAK, -123.836
BRISK,FREAK, 22.7125
BRISK,FREAK, 15.2543
BRISK,FREAK, 34.2611
BRISK,FREAK, 9.38452
BRISK,FREAK, 38.6839
BRISK,FREAK, -0.173918
BRISK,FREAK, 10.3915
BRISK,FREAK, 11.0881
BRISK,FREAK, 11.7311
BRISK,FREAK, 500.722
BRISK,FREAK, 15.3607
BRISK,FREAK, 21.1473
BRISK,FREAK, 13.371
BRISK,FREAK, 17.6172
BRISK,FREAK, 10.7425
BRISK,FREAK, nan
,,
BRISK,SIFT, -18.7528
BRISK,SIFT, nan
BRISK,SIFT, nan
BRISK,SIFT, 2.43943
BRISK,SIFT, -30.4056
BRISK,SIFT, 15.2716
BRISK,SIFT, 16.7929
BRISK,SIFT, -11907.2
BRISK,SIFT, 47.3137
BRISK,SIFT, 15.5331
BRISK,SIFT, 10.6356
BRISK,SIFT, -0.470739
BRISK,SIFT, 66.1153
BRISK,SIFT, 10.8774
BRISK,SIFT, 21.1979
BRISK,SIFT, -1.09656
BRISK,SIFT, 15.1091
BRISK,SIFT, 29.5137
,,
ORB,BRISK, -159.909
ORB,BRISK, -inf
ORB,BRISK, nan
ORB,BRISK, 24.243
ORB,BRISK, 13.3505
ORB,BRISK, 19.721
ORB,BRISK, -inf
ORB,BRISK, 7.78636
ORB,BRISK, -inf
ORB,BRISK, -inf
ORB,BRISK, -4.86994
ORB,BRISK, -inf
ORB,BRISK, 10.2483
ORB,BRISK, 53.9252
ORB,BRISK, -inf
ORB,BRISK, -inf
ORB,BRISK, -inf
ORB,BRISK, -inf
,,
ORB,BRIEF, 268.238
ORB,BRIEF, -inf
ORB,BRIEF, 28.4795
ORB,BRIEF, 11.9848
ORB,BRIEF, -25.8646
ORB,BRIEF, 13.5933
ORB,BRIEF, -3649.05
ORB,BRIEF, 11.1796
ORB,BRIEF, -inf
ORB,BRIEF, 7.4497
ORB,BRIEF, 6.06014
